wave,intst
503.894,3.230288558759108
507.969,2.4531005121240694
512.041,1.89985389097873
516.11,1.8143582223629027
520.176,1.980105581912616
524.24,2.291699172871937
528.3,2.561837462474738
532.358,2.528933240941461
536.413,2.2285422065771767
540.464,1.595267743907646
544.513,1.1465704662491012
548.559,0.6818158557446883
552.603,0.36671873039301445
556.643,0.09715279158836994
560.68,0.015976045358645875
564.715,-0.01903266491890896
568.746,-0.05866569713333096
572.775,-0.03752468078564273
576.801,0.13709060000101955
580.824,0.3991504077213471
584.844,0.9137362311136553
588.862,1.3900565680973793
592.876,1.5189071535541838
596.888,1.3815597594513704
600.897,1.0656351233394725
604.903,0.9127219101148252
608.906,1.1526623418303643
612.906,1.6203775111117755
616.904,2.763486346280024
620.898,4.496908704610695
624.89,7.070166879912151
628.879,10.068020446200471
632.865,12.597132851903101
636.849,13.564166592561222
640.829,12.664354584076353
644.807,10.366896945379494
648.782,7.56765938196609
652.754,5.169490629714332
656.723,3.3946034011339137
660.69,2.2563204185475274
664.653,1.6682807699021989
668.614,1.453328807657787
672.572,1.4501808277096095
676.527,1.4302504801380609
680.48,1.4017757687131975
684.43,1.3602952581986958
688.376,1.3788068227685961
692.321,1.1842756021750602
696.262,1.016681641816112
700.2,0.8385437246584121
704.136,0.6409511408522511
708.069,0.47784942661723656
712.0,0.36000864364907303
715.927,0.3648646750403598
719.852,0.6003287756474911
723.774,0.9209780751985269
727.693,0.9921825897024931
731.609,0.7142322334589903
735.523,0.24074954627451353
739.434,-0.025119800551240745
743.342,0.05754699453863583
747.247,0.0817356083948133
751.15,0.15662158294484008
755.05,0.1469354102719369
758.947,0.2234387288866798
762.842,0.3289560757108669
766.734,0.46789870170038
770.623,0.45801060991372566
774.509,0.31132094311589376
778.392,0.22969954645332397
782.273,0.2054918956662573
786.151,0.2424714859298951
790.027,0.42123666536971727
793.899,0.6534963576712024
797.769,1.141752610328859
801.637,2.14501488934825
805.501,3.71467310476029
809.363,5.476719843626514
813.222,6.252067843284619
817.079,5.525756357197598
820.932,3.9644114945335294
824.783,2.4048176771086087
828.632,1.2767748161416261
832.477,0.6799237469411238
836.32,0.41485738028313357
840.161,0.4066128074465933
843.998,0.38213165989699704
847.833,0.3864506281150704
851.665,0.28809833003842
855.495,0.32195249734566256
859.322,0.42130351133335586
863.146,0.6813465105096449
866.968,1.0861655620019186
870.787,1.9354003730683655
874.603,2.995992368370223
878.417,4.215200609600062
882.227,5.3783796218073645
886.036,6.072154048116941
889.841,6.050132991202262
893.644,5.1979894395022725
897.445,3.8534603344309564
901.242,2.5041244214148963
905.037,1.5899420108906877
908.83,0.9108741082352025
912.62,0.6389459906444519
916.407,0.376659991951591
920.191,0.29223368518119563
923.973,0.2802348911393531
927.752,0.24729605245976552
931.529,0.1641778142913002
935.303,0.23973736717057148
939.074,0.23775393299895062
942.843,0.35756377499331554
946.609,0.4213618745432007
950.373,0.5192813860835096
954.134,0.4538381716898931
957.892,0.3373912091113544
961.648,0.23595220667140085
965.401,0.103153948781759
969.151,0.02532975290463698
972.899,-0.061026120868118885
976.645,-0.06894091727554041
