wave,intst
503.894,0.5655768351881162
507.969,0.529202246052714
512.041,0.4354413016671205
516.11,0.4379447957386898
520.176,0.37925241102970725
524.24,0.2771419258596007
528.3,0.19256572223824597
532.358,0.20044443689431998
536.413,0.15665108852182086
540.464,0.13674123679186792
544.513,0.11595298265436445
548.559,0.09492125436959141
552.603,0.06348733164869762
556.643,0.056571861869254045
560.68,0.07036533661772872
564.715,0.030582060301788706
568.746,0.015317293371413503
572.775,0.024571062213681938
576.801,-0.005783586504959015
580.824,0.04107877961616742
584.844,0.05976137591533333
588.862,0.0064547190729316506
592.876,0.011952494726422931
596.888,0.04641345683727369
600.897,0.2266630095982056
604.903,0.3946059004527486
608.906,0.4848452623257597
612.906,0.5354762590511807
616.904,0.6328479848075028
620.898,0.6442618715382253
624.89,0.6154320011877009
628.879,0.4174692275240901
632.865,0.23323037739178795
636.849,0.17192142027934962
640.829,0.14338317761172972
644.807,0.28729766698642567
648.782,0.3750928591252338
652.754,0.43914902214188434
656.723,0.44263998647334046
660.69,0.5684220288961894
664.653,0.8958592645234473
668.614,1.3836807848773514
672.572,2.05093303411422
676.527,2.6887258361325377
680.48,3.405629215470239
684.43,3.7883083136451305
688.376,3.826602750208629
692.321,3.802415507949572
696.262,3.7373319772069684
700.2,3.662461222787634
704.136,3.5968486798354307
708.069,3.3233491675345723
712.0,2.9562459349251777
715.927,2.597123675332512
719.852,2.174868525255461
723.774,1.7643982222808374
727.693,1.5276144854795621
731.609,1.2334030150679451
735.523,1.016998571610453
739.434,0.9145881506133033
743.342,0.7852157445430027
747.247,0.7749093271687675
751.15,0.7223951395837387
755.05,0.7737008651935664
758.947,0.6818381698618554
762.842,0.6321995278421055
766.734,0.5543042541362079
770.623,0.4075127908893433
774.509,0.4267409938480919
778.392,0.3961109268104496
782.273,0.35498260849755087
786.151,0.4627159181981976
790.027,0.5091467871672994
793.899,0.578079263075607
797.769,0.6929997967279633
801.637,0.7389820050228847
805.501,0.8226866720651684
