UA,CRN,R6G,Potential,wave_503,wave_507,wave_512,wave_516,wave_520,wave_524,wave_528,wave_532,wave_536,wave_540,wave_544,wave_548,wave_552,wave_556,wave_560,wave_564,wave_568,wave_572,wave_576,wave_580,wave_584,wave_588,wave_592,wave_596,wave_600,wave_604,wave_608,wave_612,wave_616,wave_620,wave_624,wave_628,wave_632,wave_636,wave_640,wave_644,wave_648,wave_652,wave_656,wave_660,wave_664,wave_668,wave_672,wave_676,wave_680,wave_684,wave_688,wave_692,wave_696,wave_700,wave_704,wave_708,wave_711,wave_715,wave_719,wave_723,wave_727,wave_731,wave_735,wave_739,wave_743,wave_747,wave_751,wave_755,wave_758,wave_762,wave_766,wave_770,wave_774,wave_778,wave_782,wave_786,wave_790,wave_793,wave_797,wave_801,wave_805,wave_809,wave_813,wave_817,wave_820,wave_824,wave_828,wave_832,wave_836,wave_840,wave_843,wave_847,wave_851,wave_855,wave_859,wave_863,wave_866,wave_870,wave_874,wave_878,wave_882,wave_886,wave_889,wave_893,wave_897,wave_901,wave_905,wave_908,wave_912,wave_916,wave_920,wave_923,wave_927,wave_931,wave_935,wave_939,wave_942,wave_946,wave_950,wave_954,wave_957,wave_961,wave_965,wave_969,wave_972,wave_976,wave_980,wave_984,wave_987,wave_991,wave_995,wave_999,wave_1002,wave_1006,wave_1010,wave_1013,wave_1017,wave_1021,wave_1025,wave_1028,wave_1032,wave_1036,wave_1039,wave_1043,wave_1047,wave_1051,wave_1054,wave_1058,wave_1062,wave_1065,wave_1069,wave_1073,wave_1076,wave_1080,wave_1084,wave_1087,wave_1091,wave_1095,wave_1098,wave_1102,wave_1106,wave_1109,wave_1113,wave_1117,wave_1120,wave_1124,wave_1127,wave_1131,wave_1135,wave_1138,wave_1142,wave_1146,wave_1149,wave_1153,wave_1157,wave_1160,wave_1164,wave_1167,wave_1171,wave_1175,wave_1178,wave_1182,wave_1185,wave_1189,wave_1193,wave_1196,wave_1200,wave_1203,wave_1207,wave_1211,wave_1214,wave_1218,wave_1221,wave_1225,wave_1228,wave_1232,wave_1236,wave_1239,wave_1243,wave_1246,wave_1250,wave_1253,wave_1257,wave_1260,wave_1264,wave_1268,wave_1271,wave_1275,wave_1278,wave_1282,wave_1285,wave_1289,wave_1292,wave_1296,wave_1299,wave_1303,wave_1306,wave_1310,wave_1313,wave_1317,wave_1320,wave_1324,wave_1327,wave_1331,wave_1334,wave_1338,wave_1341,wave_1345,wave_1348,wave_1352,wave_1355,wave_1359,wave_1362,wave_1366,wave_1369,wave_1373,wave_1376,wave_1380,wave_1383,wave_1387,wave_1390,wave_1394,wave_1397,wave_1401,wave_1404,wave_1407,wave_1411,wave_1414,wave_1418,wave_1421,wave_1425,wave_1428,wave_1432,wave_1435,wave_1438,wave_1442,wave_1445,wave_1449,wave_1452,wave_1455,wave_1459,wave_1462,wave_1466,wave_1469,wave_1473,wave_1476,wave_1479,wave_1483,wave_1486,wave_1490,wave_1493,wave_1496,wave_1500,wave_1503,wave_1506,wave_1510,wave_1513,wave_1517,wave_1520,wave_1523,wave_1527,wave_1530,wave_1533,wave_1537,wave_1540,wave_1544,wave_1547,wave_1550,wave_1554,wave_1557,wave_1560,wave_1564,wave_1567,wave_1570,wave_1574,wave_1577,wave_1580,wave_1584,wave_1587,wave_1590,wave_1594,wave_1597,wave_1600,wave_1604,wave_1607,wave_1610,wave_1614,wave_1617,wave_1620,wave_1624,wave_1627,wave_1630,wave_1633,wave_1637,wave_1640,wave_1643,wave_1647,wave_1650,wave_1653,wave_1656,wave_1660,wave_1663,wave_1666,wave_1670,wave_1673,wave_1676,wave_1679,wave_1683,wave_1686,wave_1689,wave_1692,wave_1696,wave_1699,wave_1702,wave_1705,wave_1709,wave_1712,wave_1715,wave_1718,wave_1722,wave_1725,wave_1728,wave_1731,wave_1735,wave_1738,wave_1741,wave_1744,wave_1748,wave_1751,wave_1754,wave_1757,wave_1760,wave_1764,wave_1767,wave_1770,wave_1773,wave_1776,wave_1780,wave_1783,wave_1786,wave_1789,wave_1792,wave_1796,wave_1799
100.0,0.0,10.0,-0.6,72.28606134484698,69.11084628062667,56.447478285633224,55.89595736709566,77.75628355361232,97.32845691493299,110.41247758732857,97.20834580673477,88.31606195162362,47.83562659691279,21.967040577597572,16.410305061204326,6.565421625029558,7.432392335568693,2.511219829582842,-0.8980926041808743,18.104459057469512,30.91887965487831,26.24517403024788,30.683346214152607,56.03339861514314,79.69533121197401,92.46914074890287,96.15481993658,118.8523566609158,191.06173320119206,371.8829254577902,612.8159021917968,601.9606242837181,412.1170440293747,397.0851044970789,516.8647389450048,645.6558702797681,709.9584105547119,657.9722605198724,531.7973092365078,390.03343376262205,286.0804989042804,225.93835702010892,199.30684786479515,174.18579846119292,139.9750229950214,128.27432272948954,140.18348593733867,135.70228784688106,136.13049060086632,144.5678432293621,128.91408163620213,129.86892859904515,103.43209378388542,114.90327377245444,103.68215210260428,100.06839931902937,110.56167303547818,125.06161800732275,153.8678662141342,160.48003695331317,153.09773694622572,128.820560459724,113.74808944371102,117.37989368401531,122.31553096814446,111.3545472624096,116.29647690078855,142.44084278601122,204.887156601779,299.13491903660497,405.98362002189697,465.03273899052874,462.881745165319,348.5300978881023,237.17724699530163,177.72263323978223,152.46568874756053,174.90583749823304,195.94249582317366,250.57507291897718,339.1029713783864,360.425587740815,321.94231306791653,262.85253355306327,213.75563116686135,157.15098433486082,118.43796864154683,119.01595755570361,112.884323171495,103.44243696138756,108.58967054097184,104.5253964450742,107.94898891420871,112.6598246918852,118.65728383237001,145.14075051923578,167.90961389517838,219.4632689036955,280.30111714527857,314.5225677503961,371.22703827441956,372.6139556205794,327.2827569943702,285.23289089507443,221.9638181445473,181.67501294872773,137.36596398767256,133.9361755277796,125.08516855217431,117.61248190483093,128.617673448083,134.20032123263763,149.36002467935145,125.89640577386194,112.50911027463872,107.79780893596876,75.26219874352864,67.20200416120565,56.816978388692405,42.706904626607184,36.97159734833076,34.710903577524505,14.924704169913412,8.612915098767417,17.775488743850246,6.312415181862434,-2.5762765222596045,10.109482977733023,7.169804603109242,30.104839567845147,45.81477809731905,78.6998481477226,106.66031412847678,133.89647562923005,172.408666154721,173.99725187030413,179.56263036085943,147.50522940694123,132.82550577832762,101.5239440455207,73.00105540599657,57.15737652373832,64.99346837891449,50.30991512486003,53.907322950766,63.18631895086946,59.24754999866718,67.89168162651868,95.01939691156349,110.23139536755866,110.22839184350528,111.7111154317729,112.28030838724521,104.33672505748882,88.78113082408595,87.7143010551938,74.0370200685336,54.55008010325196,29.054280300554638,27.65042569174102,29.539326191686314,66.32179559523001,113.69865057632228,184.0707096901292,291.03879238176296,416.30371800638636,530.4663048677164,590.9273692856336,582.5877247054166,518.4481808600215,395.20954299145365,283.77261113039276,190.33817942766177,114.20703552521672,67.27995995550441,49.25772555985645,62.541096918300354,86.23082978609591,154.62767053519156,253.03235560193662,326.0456109434133,380.76815150922835,408.40068073860766,418.243890090092,440.8984586093097,468.36505253758355,470.2443249623557,428.93691551170605,350.343450095703,270.66454069477595,194.40078519098165,135.75276723429943,94.7210561359866,72.20620678137448,59.60875955623351,41.029240282608725,46.36816016187254,53.926015723736555,62.003288779368404,74.40044637913911,82.71794077575669,81.45620939359969,108.51567480548556,118.49674471770982,142.29981196323183,147.12525450571434,147.37343545540466,154.8447030992429,148.93939094567986,149.75781778423288,169.200287760523,188.5670904662045,217.45850104386523,255.97478030884577,336.31617488991765,430.98291739170145,517.4752265826833,554.49330761686,538.3373522984807,494.50753939853826,413.2040350267066,372.62699305710726,351.2765556035324,337.2528535359811,364.7560070344582,408.78612617789713,469.74331156680546,568.1276549823865,684.639240086535,814.7781431688077,982.5444339502051,1090.0381764554147,1040.7594299665307,852.508250075027,678.3846898427307,549.9888010668715,456.52063563038155,389.58024692002937,339.9676912995551,297.3830296284491,260.5263288196895,232.19766343147694,209.09711728870707,182.62478513049336,150.2807742809075,133.0652063406269,98.77821889684196,76.11996724819028,50.99062614299896,38.790391527400516,24.219482301059998,13.278142077992698,12.866640951261843,13.785277260096564,6.034379358337219,-2.1856926158363876,5.625455031199635,-0.8317486797825495,-0.4568398146311665,2.950680060979721,7.291342636682202,15.865711155757708,28.874378713767555,39.617966557908176,41.99712238795132,61.81251866006687,84.16485089460707,111.95483598808846,145.28321053135483,206.55072913615209,273.65816277290014,365.6062971229892,494.19593095172854,628.6278745086595,729.902947964426,736.5219798970616,649.6858058411358,508.8952669098919,385.25120849103087,300.65447900746494,258.00592872895186,240.60640862226,237.35676923139545,248.45785958362922,257.1105261195837,275.21561164705304,298.0739543196687,319.18638664127,322.45373449779777,330.9768162189903,341.956441671997,373.4934113872348,400.08851571733476,419.34253403028606,416.45623393992264,387.23037057641704,335.4656858987032,290.362908048543,288.0227507433119,297.1459127023304,340.83307710223175,349.7849110611278,354.40206515248974,345.08517295311026,330.0348506260427,327.35169653897856,314.33629091713215,326.6891955291303,328.1109534056286,325.802088589365,351.3631059178824,379.69449083905874,417.19670925921673,465.87020742637606,562.8154118514688,654.23272927127,733.8225466579195,711.0852312847171,628.9211308573458,515.630573718468,417.31386912343555,330.9713075788852,285.0031612328967,243.9096843068795,220.09111356055405,200.1476687854347,186.57955332270092,163.5869546030774,162.67004470672646,142.0289809417984,109.76390643933655,92.07495076444866,66.16223054167858,55.52585009135589,50.565902075149666,39.58246814823542,41.575619617013786,26.945418101885025,27.991916203979258,22.715158176044838,16.615180596027585,15.592013043448446,12.74567877804941,11.476195420098634,17.983575632252155,10.967827802687566,16.02895672938564,16.066964306209684,14.48185021008112,10.673612589756544,-0.7577512437910627,3.087755874457116,17.41013165646291,24.109374296353053,25.785482405948983,35.8384549520332,49.66829119602528,68.47499063623559,69.65855295370204,83.11897796299343,81.25626556985594,91.97041573582374,97.5614284511405
100.0,0.0,10.0,-0.5,65.22995390938775,46.56696945435522,42.992515904277184,48.58159326567733,62.609201562782516,80.40034085300039,88.3550112472513,80.94821293655997,68.70494622668167,40.25021158156267,15.63400967489224,0.48134144851997007,1.8172081748967344,2.641611521073173,10.604553281557514,9.506034910606786,25.196056885958683,35.874618073618194,30.716715003018066,26.99734114469902,42.89148619157123,72.32413534324712,86.59526859306811,100.17986001942091,121.12787708428385,206.88927994042984,423.8140207486422,688.1020430070392,663.428280901084,415.9176586959698,339.12009019781686,413.13547828120494,517.5887144582946,569.9796784818592,535.8332379896264,423.24924820037745,303.6025516670432,221.79297808338043,187.19534413296873,180.4344533685662,156.38509611364026,123.02204938261457,118.17007681916027,129.12892865011867,143.79834165172548,148.77803912764801,151.56773089993123,140.14211331432375,119.32586926047628,107.26866820729572,103.49516625231092,94.85500618296476,89.09781754863138,94.89821674297866,112.63080709581266,130.0701789738289,143.71590989085036,134.71756462932643,121.27469537483574,103.33684186495657,107.55353155160475,110.22427977549773,109.34858995094629,113.57595376139886,136.05585136600644,203.88775161711794,320.02111228913003,443.70538032093935,521.4399920787805,506.99937365106535,382.8079411875877,253.7151012908746,181.44525145823093,152.1477805620649,153.72206935558165,174.51749099661959,230.70841158669862,280.39419072543734,298.79918208241986,280.22273399212975,221.114190076922,181.4478898998699,133.74816964563297,119.83936282343166,111.82080098816516,109.26681447489983,111.47673314534012,110.7748871454753,114.63560767415214,109.83322776279277,113.11708306618891,115.88651266475955,135.76585987778708,153.9544730879661,192.02670657753748,240.10692137799657,279.644486135194,312.8137779936373,324.6141835048012,308.04509956340013,258.8059343749383,215.42110845571796,180.09005566364868,156.83722425493664,152.21207796231255,151.98909709126747,166.8177796319705,172.59764238640872,187.85322211072054,192.0840766742109,181.16478623562358,155.69495443819636,135.6492096239233,109.0272060659305,93.42862521641746,76.70317696816068,60.77560092691732,48.29566769316824,36.68818015153289,18.777974766256705,14.28992288152898,8.073932025467002,2.2049472159764605,-1.0920477319608608,5.93297110180481,4.930068321409522,18.82434817580497,31.69095352017979,52.505064755082856,83.76689876742626,112.05170787465659,134.43477877417217,145.14143150111715,143.39701839737785,123.1519230940205,104.38155950823943,77.93637085464297,62.21682866885067,54.52343184152858,40.2817056602143,41.067200857362934,35.755492663843256,41.6471798664619,43.9928838695883,50.26824776035863,64.17393537803724,79.06063038777899,80.42903535941434,92.30487085265247,95.11387451018584,86.68180015883405,88.63441691991534,86.92250832912777,68.39687146509749,35.283316086786726,13.35766377959493,14.1707471082957,17.598408773502683,46.71650076946497,88.35088337329807,161.35242413596904,256.8719968779505,369.3104806937088,460.81875897232527,493.1477184438019,470.19824826229654,400.1212391354372,304.69258250294934,208.5881697622978,120.53389153433926,66.78063695944081,42.829293014455175,33.88074384174746,50.960870084899,88.74554822868942,166.0606499424619,265.2320414285814,368.38558277976506,410.47212735301133,408.14252117005253,391.147602354641,390.18820061088013,388.69013674236714,367.27922221044685,318.7312587314799,246.99703791297765,181.35234092646152,121.97293821219273,80.98458920860242,55.58804209985544,35.13403357560503,21.8232885988441,18.15652017931211,21.834429150412973,26.80770394831177,27.177020392844383,34.71804147060482,44.956417120712274,65.51778402329143,81.95276539142515,111.061970767596,127.04599582668277,145.03042218714722,153.69081723332624,155.17773395042394,160.76671077400493,166.60827145485422,182.70292493935528,214.57616526594222,247.57847147821093,297.06030755629973,380.0721223697239,489.66434965496416,593.1374080227595,654.2917010034037,624.3026171410065,549.3455301470641,456.9457991194586,389.12876882388593,349.9447700302141,333.9941198945341,355.2271223801204,397.39406871338355,466.3952378732215,569.4058971158897,704.2513025396102,863.5566996958155,1061.922324257332,1207.898402756985,1167.010153412559,956.2577870579457,738.3665081950799,586.2865161625734,480.69300639997317,411.1111717858538,348.8662040345368,300.558295140876,268.51263886615084,239.80443225884426,208.85887720547282,184.62618200826654,154.75656298682475,130.95024610065866,106.10746859019093,81.32848063323269,60.51354701455335,41.38794880605553,24.95198505508347,20.08097447877907,13.000257162572552,13.885196261165788,10.286179701519131,0.8536218871369101,1.837965403736007,3.2646824707391033,-0.8907244639399323,6.422276926525001,17.729248498618574,21.605779991428165,33.87748738022623,50.72001123182366,51.78401506208178,69.39518369680906,90.15422163772928,116.63685143362676,148.39381205843142,206.37585729831574,278.30875415045506,394.16828123662503,543.9802272374347,704.8953893543899,839.6645718113699,871.8135844105027,778.1432411585254,609.8293589771132,445.59775650038443,334.37425295021944,276.25966707256197,248.37981611827593,235.08551485743988,231.7025746212634,241.9318023688411,254.17399977741167,269.62996235578544,285.97547858196333,300.21132906616987,318.0632857408487,331.0321110792524,366.3685573440528,397.6233658677561,422.22226636621843,416.41597628879407,380.40520020824545,316.0156292528728,270.0479405802855,257.6777968892127,270.50584596291606,302.80772023960213,320.984036408604,326.3603950336102,309.41238020617476,294.5155592313221,279.1454823457847,266.60268246718675,264.2126749726712,265.82595750544596,271.468009807983,275.6642935816406,294.81525237286155,330.7963114865209,389.7078779268343,483.85034036774624,594.0240691563947,665.9794163555437,659.9667158343977,563.9862834188183,438.3384171081353,331.0733973579521,252.76648741934918,214.4679337219157,194.9779662898883,177.5217991835625,174.57463096214997,158.98664516612993,152.1580108173538,144.1888829366032,120.55440307704436,101.62969987289728,71.16488960251979,42.435076763547926,47.465354658195906,44.35580598567216,45.55650343883693,38.54251030560616,34.0138810747882,24.795662046474632,22.637891946283304,20.640602543002444,18.078819268710703,21.42756184115987,17.21184488821939,15.331678574126386,12.312069227877629,12.053019973341236,13.32953136089887,10.841602000318176,4.9392291948283,-0.6525904234730433,5.641139742870138,11.69541689365471,20.360238815476293,31.710603804912864,44.19651059287611,64.54295827099742,76.87494622118416,82.34247404959447,97.82054152706505,105.78414853722435,113.2582950328383,119.69298100193726
100.0,0.0,10.0,-0.4000000000000001,64.12678616395071,53.32807345793284,55.717966963611765,57.09646668740038,67.23023932053722,79.9526182564025,84.49693694687237,67.86319559872845,60.41806121139022,26.22820095643048,11.493615563870813,0.014306047849080036,-0.243059565092229,14.38818716009041,15.841381499287081,22.949858112846112,40.546950257288394,50.799322331934796,40.30696909449042,36.03654821401733,47.121379495650444,74.22811077600856,84.15671715553935,103.60716690224187,145.67942069614514,252.04009754886366,529.489140733509,863.1598170624997,813.1853828572357,463.6657499707205,317.2674852298276,344.12380995888276,416.26793288294056,465.3663830627883,426.219009531022,330.35898096974887,235.1527854348291,170.20023012273182,161.6677745037601,173.08853014545025,151.26226055298812,114.35538102578964,108.36762519805659,128.36537826111802,163.8150101972075,189.78287569073754,199.13531405240997,172.47198249303565,138.6258560829956,110.39656106494878,103.5503748504503,91.18689269709414,81.90569439669359,91.20634430714456,104.02172472673844,119.41803594333062,116.66146295929411,120.85150889353933,107.3876617288081,99.36939440396107,101.1294982516816,99.23408311358185,98.94924413190886,105.7410618846937,135.74226919748926,218.385584631665,361.4037126499398,512.1960104621547,615.4618215595415,580.1338092851363,430.74462378873756,273.39356904341616,184.71326992003029,149.96967263815,149.42871191098075,164.42297810875834,199.2517177704709,246.9475007971881,257.409554328495,239.13709663885075,192.6960043919715,157.48547992094896,128.5047185322817,117.71957582917162,116.29590171723437,111.5662077563884,108.39633452451532,116.48545232607535,117.4660619118775,116.63732854301968,115.16508273314305,117.54848766909618,135.72003997659462,151.24557049739437,187.79091174488795,224.05523203993462,264.3710363284788,297.1708336846125,309.9871381693753,300.8858030493206,265.8993550447955,233.7269952758799,210.53460023841367,200.6213894732757,206.2532599257022,232.7294536589884,254.78255892158495,279.44517790148274,304.18326117053607,310.56277548759266,286.2497049628984,249.54338558625258,207.37650645288264,170.5817776846054,145.65859837593834,116.20639122761281,94.42460386380958,78.87937683062417,52.80354493948615,29.996638620017393,23.99155194744306,11.654544008617828,7.785240271047239,-1.8166993790269619,6.781754069287824,3.3803334582213815,13.27880835151124,24.376984591912862,51.27470376054013,75.20517597086457,100.23497933181186,117.39739274931942,133.12572873541035,131.3199995606244,112.08025008485326,87.50655726815255,65.26569636135059,56.0578071078628,56.6497266209235,51.44165560067298,41.23382455684881,40.05982670380422,45.75328419400277,36.747847688966885,39.877195934232454,48.175035338875055,52.60843289204225,60.04448241680416,63.58363749548448,76.92637773358388,80.43987502970315,78.92465985182275,81.58128752127232,56.677004504741184,29.71241471417784,1.5214791481769983,2.4048488723662254,15.029864669426692,32.03055653541696,65.9409762460388,137.29519659106805,229.12731061198716,327.2380975128743,401.36168858502106,408.23223315446165,369.2505645622225,306.9508661847054,218.60067082822403,142.1341934937966,78.31899750596342,39.789327330127435,21.54610807077256,24.290278310845526,56.48945628845005,104.51127274235932,200.45670375995437,331.7267369641426,445.65570437739365,479.44461530581856,455.76115592308724,410.70635556557795,368.58125307546726,343.2535631893943,311.59100963485776,247.4279915968043,173.56558355187386,115.2382018004633,67.11360435686674,38.39289085676713,22.04383580958559,9.1342218575359,3.098506371853773,2.4711547178915225,3.386640187794986,10.846110600151937,12.617387857534823,14.234966953569332,24.966681647748448,43.74703680817394,70.64387408905456,99.89170427736265,126.02503964386271,156.57839296786884,172.68627657198877,177.81653470280034,183.63700926051584,197.11553887924788,229.81995802505222,271.184762779002,316.04444330663597,378.5334830170507,473.4863577491103,608.0375349892552,741.5881397938307,823.2059540920897,777.9587493833315,678.8142861748638,551.2736468356159,457.23790186087996,395.0414428715981,375.1186490021077,384.970553333608,421.2315093671296,505.0358575340102,631.2512584115343,780.412025980692,985.4191276011055,1227.47351738241,1444.476136300338,1412.5612457446787,1150.0964278566432,855.7159193440137,662.320612104209,542.9780539623592,463.1891161616118,399.5879942529996,347.37554237293807,316.25260756703614,282.3533641538624,252.478648123449,229.32929156741702,189.33945713733632,155.40997252832685,129.14166498559234,99.5686958298849,87.09189499850852,58.24542893256944,37.230135140846414,23.246856772369785,21.863110528154795,16.246421243322782,7.930989804876087,0.7843610716594563,1.807425129275316,6.001085212454579,1.032924613893935,2.0372059248649443,17.08153694308832,28.600202633657698,35.79416375682907,58.53105549751657,65.84518609764609,79.57086882541928,96.87575395042859,122.76082739202032,158.46040937561574,220.40881976538148,302.740376742508,432.5560621659948,616.4235202888094,822.1103898376506,994.0176361359657,1056.0128832886055,943.6304131153571,727.5711641838707,514.369397614853,372.9260296482901,292.24196428242357,247.88475929749242,224.32195898343457,219.65442689680822,210.6496786424988,218.97521467785586,231.93185313879317,250.52039602028609,267.5082953787626,293.2629862243563,315.6518861048708,360.7423947164952,400.5352268771742,434.2310788648756,430.8306281252623,387.4678663527454,305.6100992816278,242.62461318699494,223.74534142435087,231.73953099981335,278.60774249790296,296.6505166983725,292.1683745495405,269.3284838361488,240.6646592102195,213.64402891779392,196.70036821926715,189.16743283378946,185.7789590716947,188.53533065326465,195.7035788797406,223.31738282291158,257.1437362002237,323.9829476027873,428.335307412384,567.6344214108481,664.5805444218461,653.8072473288186,543.2814174830188,380.80325917800945,261.0062941895347,175.05736236971902,138.8899556126763,120.6708851795516,112.76694904106542,111.34493256727781,101.60494256275388,101.3804079796696,100.93808064204957,80.3113693134995,55.800340441738626,30.63838557989273,9.258888815814165,22.895227540313197,30.91410655178485,37.88222508361048,34.632943833848834,34.33295199801736,29.082267638992146,21.047571393704477,25.962206849933978,19.92618092600738,21.23949758593547,17.66882489047657,20.447495383523687,21.275506480614165,25.486187525871475,18.1128668509909,16.7555388363506,8.714197641335469,0.3221709364718966,14.046120303902589,26.252708305400535,30.041931699835384,49.24712132870923,68.26827533765088,94.80539240091203,115.92513828412037,126.4275124138582,141.0458477900522,153.88014424328847,164.29706837143502,174.56328682370187
100.0,0.0,10.0,-0.3,61.7607879572084,67.4246250742214,70.03138199948937,71.48105873918878,81.60698865192467,90.94250513531831,87.45427498640272,72.37563177018008,55.239909197266115,27.380441176944107,1.6972285441221022,-0.44306087486173357,5.526241139638235,16.53846962320775,20.89362571518427,29.925042427072032,51.29938374594129,62.31664373991104,48.14347899995687,25.813207753512415,41.85914231763278,67.7479215569718,84.946176677672,111.45386369210466,160.40426255704998,290.93064298703365,634.5329302788047,1062.8443711518514,999.3315329513388,537.1609695811632,307.599220876622,301.879478743677,343.068253351936,385.16537269172136,343.3706488279915,256.2172108552348,169.77150455754358,123.9666254363536,130.43565176379994,152.04497765304814,133.16097947435242,89.11668228415533,91.24509293605547,117.7791998717574,153.88530625426424,201.2963631101937,215.01196915053052,189.03170394010158,143.3884610871744,102.64844812122367,87.57785305625892,69.10951096849446,67.77623725094448,66.77749421010738,83.67939100288906,89.2480169136386,91.34944130452345,87.78304690760463,84.91486312583167,72.8108993431669,71.57047824348835,74.02623580464417,70.91078796645161,79.59006397251862,115.42997305279626,216.69640444655866,395.3218941000022,582.8722913753853,690.1800924485015,647.1111070790124,458.3977921057373,285.33925167761936,183.56790421607252,144.38281608982706,139.24970198497303,145.03425862669224,174.1354985154238,209.38575034361725,214.15065942699007,202.4625214865248,162.48694978473645,130.25620895001694,109.23588215455425,103.29153830849494,102.22206593379708,101.82634038233657,108.83655773100584,116.51823535369711,112.27021250346858,107.7579842389232,110.38036869557125,110.13617436841673,127.89086740531768,143.07657224471427,177.12540559770278,216.63614377622903,253.97422336892123,289.7050752679656,309.59412538430774,316.9734620549141,300.3085034790012,271.1313318518901,256.6740275305545,259.9353365625284,279.3473382419266,317.47544602446254,360.4184084684582,400.27497687045417,438.81057293256316,452.55728979919473,420.2472264671387,362.3458222395256,303.85185789170595,247.89745687914947,209.44808658157407,165.90255957745626,130.92636827666306,105.61835290735871,76.44403618616639,52.735624668086075,36.22534344030229,21.712104156971083,11.79483974594124,5.805839119099194,4.310748551545885,5.441906395285817,13.99834431975493,29.679121866179077,49.28332722189543,78.77674466273477,99.091855331702,123.62783802258036,132.75056997140837,128.22596099119718,113.1866209523411,92.83186060963051,79.52769244208382,64.14016483742905,66.66869628586512,53.24607624843869,58.105132698496845,44.87873300313504,52.69978480996421,43.634570273018575,44.116080283147994,48.710682037011566,53.618119943766864,61.67151653616679,63.73737338652162,82.61557202802176,85.43937488222461,89.04209285957693,93.05708630153201,78.517765931205,37.02426047959716,9.276750987788622,-1.757861549686974,5.754044795562019,32.81281386711574,78.48551064738785,142.039253815176,230.37454830648835,319.8586178832165,384.55873771600454,379.90890032348926,333.64314821019053,271.09557320952104,186.06698253145473,117.95823151022167,73.00355637910873,36.20390706386441,24.826946654561954,38.40705088476261,73.11197428096277,138.50951631451858,250.53418755741163,409.1205425119888,545.3698457878844,584.6500716373272,541.5625701980222,467.04206712390123,395.78999660766766,341.9411677908252,294.76376455374316,222.95934534530093,148.82950971338678,89.00923153153849,49.4668589145424,28.537447482249945,22.189426965622488,12.657934484388155,7.078147827549098,4.851952069433689,-2.118727146320301,4.268076344586537,8.714369178949786,16.688862966053875,25.12697194798564,50.49747732748134,76.0691915974409,113.21095620628618,153.22497256169694,186.38013304195223,210.47868535192242,215.8228968943797,224.2483858266095,239.55745213806577,294.1190754162739,342.76891263515563,400.07596263397454,476.2758972923569,584.3710594062567,751.8971272705921,922.2564459761734,1017.0513587650639,962.81753846113,834.1573189928134,676.7063603509372,552.0003136427932,467.3748195629744,430.1988402652116,439.1746579560702,474.737873535386,565.4240719463806,713.6354875696939,907.3076696648847,1128.9761478684732,1430.6430977633427,1721.844006538872,1717.581005430625,1373.4228689697763,1002.8383477380397,759.6295012943624,622.1316979056182,533.2469477109167,464.74390262853734,415.55785632507445,382.22407757123784,341.9111436441214,313.554273771031,277.15532927819777,240.78281377367952,203.33854002828443,177.89096355086858,149.17518285437896,129.9262730755601,92.97928627910983,66.00258511008808,50.96450979264515,40.566711804715474,37.21082089263913,20.131778757544225,6.097839412450564,4.077236209753816,9.038182204054314,1.7822038489243066,1.0774746940800621,8.025482416786494,27.161028961601232,43.98556334877768,70.70051411327442,73.3739550798147,87.50727114233798,111.40182405052133,144.8256182036363,181.97996645315303,249.26615591648184,344.8187804718611,493.07240660477305,713.9949059459492,962.0541211771879,1179.6845319864763,1260.2539210945122,1143.9967070440937,877.4139437741392,602.5733203197364,419.6091606265815,319.95575678649834,255.88070233320545,220.2182255800461,209.93585632304226,197.30109256953415,202.54806728883682,216.67754851722376,235.62360614930517,256.5202787496594,279.40157371945924,314.334800819994,366.0872390551721,419.4261369152969,455.31871265227437,461.7321545914258,401.83362148524344,307.9235762460033,228.7691197245546,199.3039911959555,220.39523554256525,261.90987046001055,296.7815536830795,280.77725023365593,243.9305663615077,205.9750835147514,172.27769233839112,146.03859336391756,130.15796438616417,126.53596119072593,132.8060516293073,146.9350163747547,185.55628302207302,230.0699268693851,312.2093383802498,445.04122399786456,610.4656069822737,742.8491616121261,739.3918807642694,604.2270768877198,404.6880497185784,250.57475406888753,153.5538010092399,102.15845909185146,87.35532226536081,84.44431113831168,87.29200758618428,76.19832270049233,79.52983141298712,77.81977379525597,62.73472303260436,40.64125340588945,12.905941614465823,-1.637965227930863,19.676118406760832,35.91478446216388,50.744630994229205,50.79892853663728,51.44428646978531,53.04731939485047,47.474646846263646,48.0595596759916,48.36868644312415,52.26865980820594,49.85944959904001,55.50769588132664,61.71337536786007,65.1098011660434,63.696955864284064,63.808157957894345,54.24339494816695,50.83598978115409,64.81926729282274,80.95988732630254,91.09117785421586,110.17980144082101,141.49242171225137,175.82903650252808,193.7229776772566,216.50757763813837,237.28283584506394,249.78208535757622,267.60532606464847,280.8858912715253
